date | value
2009-01-01 | 3
2009-01-02 | 999
2011-01-03 | 3.345678
2011-01-03 | 1000.0000001
2011-01-03 | 1000
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
9999-01-11 | 1
2022-03-28 | 4
2022-03-29 | 4
2022-03-28 |
2020-02-29 | 1
2021-02-29 | 1
2020-02-28 | 1
2021-02-28 | 1
2021-02-28 | .
2021-02-28 | .0f
2021-02-28 | .0
2021-02-28 | 0.
2021-02-28 | 0.9.
2021-02-28 | 0..9
2021-02-28 | 0t9
2021-02-28 | 9 23
2021-02-28 | 0.923
2021-02-28 |   0.923
